supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
realme,RMX3851,2398271,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
CROSSCALL,CORE-X5,2361580,SMARTPHONE,A,B,3.83,2022-04-27,60,5,4820,4293,8,800,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_6,A,270,3.55,4.6,4,PRIORITY,NO_COST,https://www.crosscall.com/fr_FR/userguides/,https://www.crosscall.com/fr_FR/pieces-detachees.html
SPC,ZEUS 4G PRO,2390990,SMARTPHONE,B,B,3.36,2025-05-16,24,5,2300,1340,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,C,90,3.35,2.7,3.1,PRIORITY,NO_COST,https://support.spc.es,https://repair.spc.es/
TCL,T519H,2352836,SMARTPHONE,B,B,3.8,2025-05-10,24,6,5000,3168,10,1000,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,3.2,3.3,3.7,PRIORITY,NO_COST,https://www.tcl.com/mobile-support,https://storesp.tcl.com
ulefone,Armor  X32 ,2392625,SMARTPHONE,B,C,3.24,2025-04-08,24,5,5500,3388,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3.15,2.2,3.15,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
motorola,g86 5G (XT2527-2),2304402,SMARTPHONE,A,B,3.64,2025-06-18,24,6,5100,3344,10,1000,True,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,2.4,4,4.3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
ZTE,Z2450,2232553,SMARTPHONE,B,B,3.44,2024-08-01,24,5,4900,2664,8,800,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,45,2.9,3.2,3.9,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/blade/BladeA55,https://www.ztedevices.com/en/support/service-center.html
OSCAL,MARINE 2,2378079,SMARTPHONE,B,C,3.24,2025-06-04,12,5,11000,6218,8,800,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,B,180,2.8,2.6,4.3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
emporia,ME7.v1,2388055,SMARTPHONE,B,B,3.57,2025-06-27,24,5,3500,2124,10,1000,True,15,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_6,D,88,3.75,3.4,3.2,PRIORITY,NO_COST,https://www.emporiamobile.com/products/ersatzteile-smart-7mini-smart-7lite-me-7,https://www.emporiamobile.com/products/ersatzteile-smart-7mini-smart-7lite-me-7
OUKITEL,WP28 S,2394004,SMARTPHONE,C,B,3.94,2025-06-20,84,5,10600,5150,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.2,4.2,2.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.oukitel.com,https://www.oukitel.com
OUKITEL,G5,2400979,SMARTPHONE,B,C,3.27,2025-06-27,12,5,6300,3563,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,D,45,3.1,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
HAMMER,IRON 6,2365639,SMARTPHONE,A,C,2.9,2025-05-06,24,5,6050,4890,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_6,A,355,3,2.4,2.9,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,www.mptech.eu,www.mptech.eu
OSCAL,TIGER 8,2394924,SMARTPHONE,A,B,3.57,2025-06-20,24,5,5000,3218,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_7,C,98,4.25,4.4,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
OUKITEL,WP53 S,2399121,SMARTPHONE,B,C,3.17,2025-06-26,12,5,11000,5891,12,1200,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.9,2.6,3.7,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,V40 Ultra,2406302,SMARTPHONE,C,C,3.18,2025-07-03,12,5,8680,7916,12,1200,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Blackview,BV7300,2378042,SMARTPHONE,A,C,3.24,2025-06-04,12,5,15000,9999,8,800,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.8,2.6,4.3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Blade GT Pro,2406320,SMARTPHONE,E,C,3.26,2025-07-03,12,5,5800,2155,14,1400,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.1,2.6,4,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
XIAOMI,24129PN74G,2277265,SMARTPHONE,A,C,2.61,2025-06-20,12,5,5100,3806,10,1000,False,90,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,C,90,3,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
Samsung,SM-S938B/DS,2339789,SMARTPHONE,B,C,3.23,2024-12-24,24,5,4855,2694,20,2000,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.9,3.1,2.65,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
HMD,TA-1588,2257273,SMARTPHONE,A,B,3.93,2025-06-20,36,5,4900,3720,8,800,True,20,USB_C,ANDROID,False,IP52,DUST_PROTECTED,SPRAY_LESS_THAN_15_DEGREES,,MOHS_8,A,270,4.1,4.4,4,PRIORITY,NO_COST,https://www.hmd.com/en_int/self-repair,https://www.hmd.com/en_int/self-repair
Samsung,SM-G766B,2301635,SMARTPHONE,B,B,3.6,2025-04-16,24,5,4265,2295,20,2000,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.45,3.8,3.5,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
"Shenzhen kehuitong Technology Co., Ltd.",F600,2389059,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
